Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,Q3,1720364028.218073,1112472,0,1
4,Q4,1720364029.330562,430639,0,1
5,Q5,1720364029.761219,2087926,0,1
6,Q6,1720364031.849161,1621892,0,1
7,Q7,1720364033.471071,2451306,0,1
8,Q8,1720364035.922393,3885225,0,1
9,Q9,1720364039.807635,5111624,0,1
10,Q10,1720364044.919278,826457,0,1
11,Q11,1720364045.745753,227700,0,1
12,Q12,1720364045.973470,1895789,0,1
13,Q13,1720364047.869281,1853495,0,1
14,Q14,1720364049.722792,510698,0,1
15,Q15,1720364050.233506,1892956,0,1
16,Q16,1720364052.126480,785913,0,1
17,Q17,1720364052.912410,1048130,0,1
18,Q18,1720364053.960557,2938194,0,1
19,Q19,1720364056.898768,123860,0,1
20,Q20,1720364057.022646,1084762,0,1
21,Q21,1720364058.107426,2068005,0,1
22,Q22,1720364060.175447,243711,0,1
1,Q1,1720364060.419175,9510867,0,1
2,Q2,1720364069.930068,651095,0,1
3,Q3,1720364070.581179,1103464,0,1
4,Q4,1720364071.684660,433602,0,1
5,Q5,1720364072.118279,2090979,0,1
6,Q6,1720364074.209275,1668092,0,1
7,Q7,1720364075.877385,2515734,0,1
8,Q8,1720364078.393135,3945606,0,1
9,Q9,1720364082.338759,5176104,0,1
10,Q10,1720364087.514881,794128,0,1
11,Q11,1720364088.309034,227973,0,1
12,Q12,1720364088.537025,1952768,0,1
13,Q13,1720364090.489810,1854191,0,1
14,Q14,1720364092.344019,511856,0,1
15,Q15,1720364092.855893,1857355,0,1
16,Q16,1720364094.713265,764090,0,1
17,Q17,1720364095.477374,1048027,0,1
18,Q18,1720364096.525417,2753380,0,1
19,Q19,1720364099.278814,161829,0,1
20,Q20,1720364099.440660,1068654,0,1
21,Q21,1720364100.509331,2283582,0,1
22,Q22,1720364102.792932,244838,0,1
1,Q1,1720364103.037786,9520690,0,1
2,Q2,1720364112.558493,647421,0,1
3,Q3,1720364113.205931,1076234,0,1
4,Q4,1720364114.282182,454154,0,1
5,Q5,1720364114.736353,2104801,0,1
6,Q6,1720364116.841170,1774558,0,1
7,Q7,1720364118.615745,2411483,0,1
8,Q8,1720364121.027244,3883651,0,1
9,Q9,1720364124.910912,5105848,0,1
10,Q10,1720364130.016781,823351,0,1
11,Q11,1720364130.840149,234625,0,1
12,Q12,1720364131.074793,1779797,0,1
13,Q13,1720364132.854606,1803004,0,1
14,Q14,1720364134.657630,493637,0,1
15,Q15,1720364135.151283,1888153,0,1
16,Q16,1720364137.039454,767967,0,1
17,Q17,1720364137.807439,1130825,0,1
18,Q18,1720364138.938291,2764316,0,1
19,Q19,1720364141.702624,180785,0,1
20,Q20,1720364141.883428,1108220,0,1
21,Q21,1720364142.991666,2140547,0,1
22,Q22,1720364145.132235,262556,0,1
1,Q1,1720364145.394808,10463287,0,1
2,Q2,1720364155.858112,629721,0,1
3,Q3,1720364156.487850,1069059,0,1
4,Q4,1720364157.556925,432877,0,1
5,Q5,1720364157.989820,2096131,0,1
6,Q6,1720364160.085983,1800075,0,1
7,Q7,1720364161.886075,2581696,0,1
8,Q8,1720364164.467788,3831820,0,1
9,Q9,1720364168.299624,5083984,0,1
10,Q10,1720364173.383626,769797,0,1
11,Q11,1720364174.153441,245184,0,1
12,Q12,1720364174.398643,1895079,0,1
13,Q13,1720364176.293739,1686651,0,1
14,Q14,1720364177.980409,540455,0,1
15,Q15,1720364178.520882,1982842,0,1
16,Q16,1720364180.503743,787518,0,1
17,Q17,1720364181.291280,1082079,0,1
18,Q18,1720364182.373376,2729294,0,1
19,Q19,1720364185.102687,133129,0,1
20,Q20,1720364185.235833,922755,0,1
21,Q21,1720364186.158605,2128139,0,1
22,Q22,1720364188.286761,243510,0,1
1,Q1,1720364188.530288,10364051,0,1
2,Q2,1720364198.894359,660815,0,1
3,Q3,1720364199.555192,1083232,0,1
4,Q4,1720364200.638441,452793,0,1
5,Q5,1720364201.091253,2072443,0,1
6,Q6,1720364203.163715,1670556,0,1
7,Q7,1720364204.834290,2460105,0,1
8,Q8,1720364207.294411,3932248,0,1
9,Q9,1720364211.226677,5099895,0,1
10,Q10,1720364216.326591,823142,0,1
11,Q11,1720364217.149751,216367,0,1
12,Q12,1720364217.366135,1862952,0,1
13,Q13,1720364219.229105,1820789,0,1
14,Q14,1720364221.049915,536365,0,1
15,Q15,1720364221.586298,1902999,0,1
16,Q16,1720364223.489315,763696,0,1
17,Q17,1720364224.253028,1038869,0,1
18,Q18,1720364225.291913,2722910,0,1
19,Q19,1720364228.014841,151789,0,1
20,Q20,1720364228.166647,1112106,0,1
21,Q21,1720364229.278772,2136551,0,1
22,Q22,1720364231.415379,254915,0,1
1,Q1,1720364231.670314,9629510,0,1
2,Q2,1720364241.299841,681873,0,1
3,Q3,1720364241.981732,1084054,0,1
4,Q4,1720364243.065803,432174,0,1
5,Q5,1720364243.497994,2038029,0,1
6,Q6,1720364245.536040,1668491,0,1
7,Q7,1720364247.204548,2547116,0,1
8,Q8,1720364249.751680,3916715,0,1
9,Q9,1720364253.668431,5105138,0,1
10,Q10,1720364258.773953,882156,0,1
11,Q11,1720364259.656121,223088,0,1
12,Q12,1720364259.879221,1889102,0,1
13,Q13,1720364261.768335,1772736,0,1
14,Q14,1720364263.541083,506874,0,1
15,Q15,1720364264.047969,1961362,0,1
16,Q16,1720364266.009342,779748,0,1
17,Q17,1720364266.789101,1034768,0,1
18,Q18,1720364267.823881,2793902,0,1
19,Q19,1720364270.617794,122716,0,1
20,Q20,1720364270.740522,1051360,0,1
21,Q21,1720364271.791895,2183639,0,1
22,Q22,1720364273.975546,241932,0,1
1,Q1,1720364274.217490,9503482,0,1
2,Q2,1720364283.720984,654415,0,1
3,Q3,1720364284.375411,1068321,0,1
4,Q4,1720364285.443744,430704,0,1
5,Q5,1720364285.874459,2067379,0,1
6,Q6,1720364287.941850,1797857,0,1
7,Q7,1720364289.739719,2511760,0,1
8,Q8,1720364292.251490,3909477,0,1
9,Q9,1720364296.160979,5122341,0,1
10,Q10,1720364301.283332,865286,0,1
11,Q11,1720364302.148629,224467,0,1
12,Q12,1720364302.373108,1858909,0,1
13,Q13,1720364304.232029,1700648,0,1
14,Q14,1720364305.932690,488174,0,1
15,Q15,1720364306.420875,1877359,0,1
16,Q16,1720364308.298245,792465,0,1
17,Q17,1720364309.090721,1077849,0,1
18,Q18,1720364310.168582,2736884,0,1
19,Q19,1720364312.905478,161876,0,1
20,Q20,1720364313.067366,969808,0,1
21,Q21,1720364314.037187,2175123,0,1
22,Q22,1720364316.212323,242793,0,1
1,Q1,1720364316.455127,9675123,0,1
2,Q2,1720364326.130262,676276,0,1
3,Q3,1720364326.806551,1062560,0,1
4,Q4,1720364327.869122,472831,0,1
5,Q5,1720364328.341964,2109392,0,1
6,Q6,1720364330.451369,1760015,0,1
7,Q7,1720364332.211396,2548634,0,1
8,Q8,1720364334.760041,3854043,0,1
9,Q9,1720364338.614096,5207965,0,1
10,Q10,1720364343.822073,828244,0,1
11,Q11,1720364344.650328,237197,0,1
12,Q12,1720364344.887536,1857564,0,1
13,Q13,1720364346.745112,1774943,0,1
14,Q14,1720364348.520066,530100,0,1
