Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
154,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,1,1.000,472364,472364,472364,472364,472364,472364,472364,472364,472364
156,1,1.000,1934428,1934428,1934428,1934428,1934428,1934428,1934428,1934428,1934428
157,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,2,2.000,775419,775419,1136001,955710,1136001,1136001,1136001,1136001,1136001
159,1,1.000,2756340,2756340,2756340,2756340,2756340,2756340,2756340,2756340,2756340
160,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
161,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,2,2.000,200741,200741,1053989,627365,1053989,1053989,1053989,1053989,1053989
163,1,1.000,2214927,2214927,2214927,2214927,2214927,2214927,2214927,2214927,2214927
164,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,2,2.000,198765,198765,9092635,4645700,9092635,9092635,9092635,9092635,9092635
167,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
171,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
175,1,1.000,821217,821217,821217,821217,821217,821217,821217,821217,821217
176,1,1.000,1071980,1071980,1071980,1071980,1071980,1071980,1071980,1071980,1071980
177,2,2.000,449342,449342,1843265,1146303,1843265,1843265,1843265,1843265,1843265
178,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,1,1.000,1039091,1039091,1039091,1039091,1039091,1039091,1039091,1039091,1039091
180,1,1.000,2528074,2528074,2528074,2528074,2528074,2528074,2528074,2528074,2528074
181,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
183,1,1.000,3844734,3844734,3844734,3844734,3844734,3844734,3844734,3844734,3844734
184,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,1,1.000,5219932,5219932,5219932,5219932,5219932,5219932,5219932,5219932,5219932
188,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,1,1.000,839480,839480,839480,839480,839480,839480,839480,839480,839480
193,2,2.000,232006,232006,1737909,984957,1737909,1737909,1737909,1737909,1737909
194,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,1,1.000,1781174,1781174,1781174,1781174,1781174,1781174,1781174,1781174,1781174
196,1,1.000,470645,470645,470645,470645,470645,470645,470645,470645,470645
197,1,1.000,1945902,1945902,1945902,1945902,1945902,1945902,1945902,1945902,1945902
198,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
199,1,1.000,766257,766257,766257,766257,766257,766257,766257,766257,766257
200,1,1.000,1108584,1108584,1108584,1108584,1108584,1108584,1108584,1108584,1108584
201,1,1.000,2749475,2749475,2749475,2749475,2749475,2749475,2749475,2749475,2749475
202,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
203,1,1.000,141119,141119,141119,141119,141119,141119,141119,141119,141119
204,1,1.000,1050091,1050091,1050091,1050091,1050091,1050091,1050091,1050091,1050091
205,1,1.000,2097601,2097601,2097601,2097601,2097601,2097601,2097601,2097601,2097601
206,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
207,2,2.000,198344,198344,9043640,4620992,9043640,9043640,9043640,9043640,9043640
208,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
213,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
214,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
215,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,1,1.000,741030,741030,741030,741030,741030,741030,741030,741030,741030
217,1,1.000,1043798,1043798,1043798,1043798,1043798,1043798,1043798,1043798,1043798
218,2,2.000,443692,443692,1782034,1112863,1782034,1782034,1782034,1782034,1782034
219,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,1,1.000,1042844,1042844,1042844,1042844,1042844,1042844,1042844,1042844,1042844
221,1,1.000,2513349,2513349,2513349,2513349,2513349,2513349,2513349,2513349,2513349
222,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
223,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,1,1.000,3970158,3970158,3970158,3970158,3970158,3970158,3970158,3970158,3970158
225,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
226,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
227,1,1.000,5418829,5418829,5418829,5418829,5418829,5418829,5418829,5418829,5418829
228,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
230,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
231,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
232,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,1,1.000,841806,841806,841806,841806,841806,841806,841806,841806,841806
234,2,2.000,249538,249538,1828113,1038825,1828113,1828113,1828113,1828113,1828113
235,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,1,1.000,1845520,1845520,1845520,1845520,1845520,1845520,1845520,1845520,1845520
237,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
238,2,2.000,507049,507049,1991688,1249368,1991688,1991688,1991688,1991688,1991688
239,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,1,1.000,778652,778652,778652,778652,778652,778652,778652,778652,778652
241,1,1.000,1062566,1062566,1062566,1062566,1062566,1062566,1062566,1062566,1062566
242,1,1.000,2727223,2727223,2727223,2727223,2727223,2727223,2727223,2727223,2727223
243,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
245,2,2.000,139181,139181,1041025,590103,1041025,1041025,1041025,1041025,1041025
246,1,1.000,2148624,2148624,2148624,2148624,2148624,2148624,2148624,2148624,2148624
247,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
248,2,2.000,198705,198705,9151748,4675226,9151748,9151748,9151748,9151748,9151748
249,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
251,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
252,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
253,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
254,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
256,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,1,1.000,728673,728673,728673,728673,728673,728673,728673,728673,728673
258,1,1.000,1114846,1114846,1114846,1114846,1114846,1114846,1114846,1114846,1114846
259,1,1.000,456340,456340,456340,456340,456340,456340,456340,456340,456340
260,1,1.000,1765808,1765808,1765808,1765808,1765808,1765808,1765808,1765808,1765808
261,1,1.000,991779,991779,991779,991779,991779,991779,991779,991779,991779
262,1,1.000,2485532,2485532,2485532,2485532,2485532,2485532,2485532,2485532,2485532
263,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
264,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
265,1,1.000,3980580,3980580,3980580,3980580,3980580,3980580,3980580,3980580,3980580
266,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
267,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
268,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
269,1,1.000,5162449,5162449,5162449,5162449,5162449,5162449,5162449,5162449,5162449
270,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
271,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
272,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
273,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
274,1,1.000,817054,817054,817054,817054,817054,817054,817054,817054,817054
275,2,2.000,232110,232110,1750586,991348,1750586,1750586,1750586,1750586,1750586
276,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
277,1,1.000,1700251,1700251,1700251,1700251,1700251,1700251,1700251,1700251,1700251
278,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
279,2,2.000,485770,485770,1923086,1204428,1923086,1923086,1923086,1923086,1923086
280,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
281,1,1.000,772281,772281,772281,772281,772281,772281,772281,772281,772281
282,1,1.000,1036468,1036468,1036468,1036468,1036468,1036468,1036468,1036468,1036468
283,1,1.000,2725869,2725869,2725869,2725869,2725869,2725869,2725869,2725869,2725869
284,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
285,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
286,2,2.000,128354,128354,1054656,591505,1054656,1054656,1054656,1054656,1054656
287,1,1.000,2274027,2274027,2274027,2274027,2274027,2274027,2274027,2274027,2274027
288,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
289,2,2.000,199094,199094,9171315,4685204,9171315,9171315,9171315,9171315,9171315
290,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
291,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
292,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
293,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
294,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
295,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
296,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
297,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
298,1,1.000,775925,775925,775925,775925,775925,775925,775925,775925,775925
299,1,1.000,1065594,1065594,1065594,1065594,1065594,1065594,1065594,1065594,1065594
300,1,1.000,440467,440467,440467,440467,440467,440467,440467,440467,440467
301,1,1.000,1754931,1754931,1754931,1754931,1754931,1754931,1754931,1754931,1754931
302,1,1.000,973894,973894,973894,973894,973894,973894,973894,973894,973894
303,1,1.000,2533446,2533446,2533446,2533446,2533446,2533446,2533446,2533446,2533446
304,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
305,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
306,1,1.000,3882430,3882430,3882430,3882430,3882430,3882430,3882430,3882430,3882430
307,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
308,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
309,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,1,1.000,3391467,3391467,3391467,3391467,3391467,3391467,3391467,3391467,3391467
311,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
312,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
313,1,1.000,773286,773286,773286,773286,773286,773286,773286,773286,773286
314,2,2.000,240399,240399,1805660,1023029,1805660,1805660,1805660,1805660,1805660
315,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
316,1,1.000,1883983,1883983,1883983,1883983,1883983,1883983,1883983,1883983,1883983
317,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
318,2,2.000,467677,467677,1930259,1198968,1930259,1930259,1930259,1930259,1930259
319,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
320,1,1.000,773068,773068,773068,773068,773068,773068,773068,773068,773068
321,1,1.000,1054217,1054217,1054217,1054217,1054217,1054217,1054217,1054217,1054217
322,1,1.000,2741516,2741516,2741516,2741516,2741516,2741516,2741516,2741516,2741516
323,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
324,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
325,2,2.000,132404,132404,1065197,598800,1065197,1065197,1065197,1065197,1065197
326,1,1.000,2297165,2297165,2297165,2297165,2297165,2297165,2297165,2297165,2297165
327,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
328,1,1.000,228414,228414,228414,228414,228414,228414,228414,228414,228414
329,1,1.000,9515407,9515407,9515407,9515407,9515407,9515407,9515407,9515407,9515407
330,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
331,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
332,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
333,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
334,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
335,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
336,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
337,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
338,1,1.000,756904,756904,756904,756904,756904,756904,756904,756904,756904
339,1,1.000,1078084,1078084,1078084,1078084,1078084,1078084,1078084,1078084,1078084
340,2,2.000,441045,441045,1751188,1096116,1751188,1751188,1751188,1751188,1751188
341,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
342,1,1.000,1063336,1063336,1063336,1063336,1063336,1063336,1063336,1063336,1063336
343,1,1.000,2558091,2558091,2558091,2558091,2558091,2558091,2558091,2558091,2558091
344,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
345,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
346,1,1.000,3893474,3893474,3893474,3893474,3893474,3893474,3893474,3893474,3893474
347,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
348,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
349,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
350,1,1.000,5228855,5228855,5228855,5228855,5228855,5228855,5228855,5228855,5228855
351,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
352,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
353,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
354,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
355,1,1.000,941176,941176,941176,941176,941176,941176,941176,941176,941176
356,2,2.000,226608,226608,1779754,1003181,1779754,1779754,1779754,1779754,1779754
