Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
724,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
725,1,1.000,1668491,1668491,1668491,1668491,1668491,1668491,1668491,1668491,1668491
726,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
727,1,1.000,2547116,2547116,2547116,2547116,2547116,2547116,2547116,2547116,2547116
728,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
729,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
730,1,1.000,3916715,3916715,3916715,3916715,3916715,3916715,3916715,3916715,3916715
731,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
732,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
733,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
734,1,1.000,5105138,5105138,5105138,5105138,5105138,5105138,5105138,5105138,5105138
735,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
736,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
737,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
738,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
739,1,1.000,882156,882156,882156,882156,882156,882156,882156,882156,882156
740,2,2.000,223088,223088,1889102,1056095,1889102,1889102,1889102,1889102,1889102
741,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
742,1,1.000,1772736,1772736,1772736,1772736,1772736,1772736,1772736,1772736,1772736
743,1,1.000,506874,506874,506874,506874,506874,506874,506874,506874,506874
744,1,1.000,1961362,1961362,1961362,1961362,1961362,1961362,1961362,1961362,1961362
745,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
746,1,1.000,779748,779748,779748,779748,779748,779748,779748,779748,779748
747,1,1.000,1034768,1034768,1034768,1034768,1034768,1034768,1034768,1034768,1034768
748,1,1.000,2793902,2793902,2793902,2793902,2793902,2793902,2793902,2793902,2793902
749,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
750,1,1.000,122716,122716,122716,122716,122716,122716,122716,122716,122716
751,1,1.000,1051360,1051360,1051360,1051360,1051360,1051360,1051360,1051360,1051360
752,1,1.000,2183639,2183639,2183639,2183639,2183639,2183639,2183639,2183639,2183639
753,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
754,2,2.000,241932,241932,9503482,4872707,9503482,9503482,9503482,9503482,9503482
755,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
756,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
757,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
758,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
759,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
760,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
761,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
762,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
763,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
764,2,2.000,654415,654415,1068321,861368,1068321,1068321,1068321,1068321,1068321
765,1,1.000,430704,430704,430704,430704,430704,430704,430704,430704,430704
766,1,1.000,2067379,2067379,2067379,2067379,2067379,2067379,2067379,2067379,2067379
767,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
768,1,1.000,1797857,1797857,1797857,1797857,1797857,1797857,1797857,1797857,1797857
769,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
770,1,1.000,2511760,2511760,2511760,2511760,2511760,2511760,2511760,2511760,2511760
771,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
772,1,1.000,3909477,3909477,3909477,3909477,3909477,3909477,3909477,3909477,3909477
773,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
774,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
775,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
776,1,1.000,5122341,5122341,5122341,5122341,5122341,5122341,5122341,5122341,5122341
777,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
778,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
779,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
780,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
781,1,1.000,865286,865286,865286,865286,865286,865286,865286,865286,865286
782,2,2.000,224467,224467,1858909,1041688,1858909,1858909,1858909,1858909,1858909
783,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
784,1,1.000,1700648,1700648,1700648,1700648,1700648,1700648,1700648,1700648,1700648
785,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
786,2,2.000,488174,488174,1877359,1182766,1877359,1877359,1877359,1877359,1877359
787,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
788,1,1.000,792465,792465,792465,792465,792465,792465,792465,792465,792465
789,1,1.000,1077849,1077849,1077849,1077849,1077849,1077849,1077849,1077849,1077849
790,1,1.000,2736884,2736884,2736884,2736884,2736884,2736884,2736884,2736884,2736884
791,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
792,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
793,2,2.000,161876,161876,969808,565842,969808,969808,969808,969808,969808
794,1,1.000,2175123,2175123,2175123,2175123,2175123,2175123,2175123,2175123,2175123
795,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
796,2,2.000,242793,242793,9675123,4958958,9675123,9675123,9675123,9675123,9675123
797,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
798,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
799,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
800,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
801,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
802,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
803,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
804,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
805,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
806,1,1.000,676276,676276,676276,676276,676276,676276,676276,676276,676276
807,1,1.000,1062560,1062560,1062560,1062560,1062560,1062560,1062560,1062560,1062560
808,2,2.000,472831,472831,2109392,1291111,2109392,2109392,2109392,2109392,2109392
809,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
810,1,1.000,1760015,1760015,1760015,1760015,1760015,1760015,1760015,1760015,1760015
811,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
812,1,1.000,2548634,2548634,2548634,2548634,2548634,2548634,2548634,2548634,2548634
813,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
814,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
815,1,1.000,3854043,3854043,3854043,3854043,3854043,3854043,3854043,3854043,3854043
816,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
817,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
818,1,1.000,5207965,5207965,5207965,5207965,5207965,5207965,5207965,5207965,5207965
819,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
820,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
821,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
822,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
823,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
824,1,1.000,828244,828244,828244,828244,828244,828244,828244,828244,828244
825,2,2.000,237197,237197,1857564,1047380,1857564,1857564,1857564,1857564,1857564
826,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
827,1,1.000,1774943,1774943,1774943,1774943,1774943,1774943,1774943,1774943,1774943
828,1,1.000,530100,530100,530100,530100,530100,530100,530100,530100,530100
829,1,1.000,1903672,1903672,1903672,1903672,1903672,1903672,1903672,1903672,1903672
830,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
831,1,1.000,779289,779289,779289,779289,779289,779289,779289,779289,779289
832,1,1.000,1042949,1042949,1042949,1042949,1042949,1042949,1042949,1042949,1042949
833,1,1.000,2774020,2774020,2774020,2774020,2774020,2774020,2774020,2774020,2774020
834,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
835,1,1.000,153330,153330,153330,153330,153330,153330,153330,153330,153330
836,1,1.000,1086671,1086671,1086671,1086671,1086671,1086671,1086671,1086671,1086671
837,1,1.000,2186499,2186499,2186499,2186499,2186499,2186499,2186499,2186499,2186499
838,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
839,2,2.000,269397,269397,9945941,5107669,9945941,9945941,9945941,9945941,9945941
840,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
841,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
842,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
843,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
844,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
845,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
846,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
847,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
848,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
849,1,1.000,784824,784824,784824,784824,784824,784824,784824,784824,784824
850,1,1.000,1434123,1434123,1434123,1434123,1434123,1434123,1434123,1434123,1434123
851,1,1.000,469572,469572,469572,469572,469572,469572,469572,469572,469572
852,1,1.000,2061389,2061389,2061389,2061389,2061389,2061389,2061389,2061389,2061389
853,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
854,1,1.000,1682221,1682221,1682221,1682221,1682221,1682221,1682221,1682221,1682221
855,1,1.000,2465290,2465290,2465290,2465290,2465290,2465290,2465290,2465290,2465290
856,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
857,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
858,1,1.000,3982024,3982024,3982024,3982024,3982024,3982024,3982024,3982024,3982024
859,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
860,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
861,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
862,1,1.000,5275927,5275927,5275927,5275927,5275927,5275927,5275927,5275927,5275927
863,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
864,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
865,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
866,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
867,1,1.000,816776,816776,816776,816776,816776,816776,816776,816776,816776
868,2,2.000,235385,235385,1913838,1074611,1913838,1913838,1913838,1913838,1913838
869,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
870,1,1.000,1856443,1856443,1856443,1856443,1856443,1856443,1856443,1856443,1856443
871,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
872,1,1.000,495799,495799,495799,495799,495799,495799,495799,495799,495799
873,1,1.000,1893157,1893157,1893157,1893157,1893157,1893157,1893157,1893157,1893157
874,1,1.000,770215,770215,770215,770215,770215,770215,770215,770215,770215
875,1,1.000,1037419,1037419,1037419,1037419,1037419,1037419,1037419,1037419,1037419
876,1,1.000,2736209,2736209,2736209,2736209,2736209,2736209,2736209,2736209,2736209
877,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
878,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
879,2,2.000,155359,155359,1083522,619440,1083522,1083522,1083522,1083522,1083522
880,1,1.000,2214244,2214244,2214244,2214244,2214244,2214244,2214244,2214244,2214244
881,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
882,1,1.000,244816,244816,244816,244816,244816,244816,244816,244816,244816
883,1,1.000,9474602,9474602,9474602,9474602,9474602,9474602,9474602,9474602,9474602
884,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
885,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
886,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
887,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
888,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
889,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
890,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
891,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
892,1,1.000,666229,666229,666229,666229,666229,666229,666229,666229,666229
893,1,1.000,1081087,1081087,1081087,1081087,1081087,1081087,1081087,1081087,1081087
894,2,2.000,433971,433971,2171199,1302585,2171199,2171199,2171199,2171199,2171199
895,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
896,1,1.000,1742275,1742275,1742275,1742275,1742275,1742275,1742275,1742275,1742275
897,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
898,1,1.000,2442580,2442580,2442580,2442580,2442580,2442580,2442580,2442580,2442580
899,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
900,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
901,1,1.000,3948962,3948962,3948962,3948962,3948962,3948962,3948962,3948962,3948962
902,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
903,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
904,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
905,1,1.000,5139561,5139561,5139561,5139561,5139561,5139561,5139561,5139561,5139561
906,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
907,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
908,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
909,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
910,1,1.000,832572,832572,832572,832572,832572,832572,832572,832572,832572
911,2,2.000,227945,227945,1811862,1019903,1811862,1811862,1811862,1811862,1811862
912,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
913,1,1.000,1666550,1666550,1666550,1666550,1666550,1666550,1666550,1666550,1666550
914,1,1.000,512800,512800,512800,512800,512800,512800,512800,512800,512800
915,1,1.000,1854060,1854060,1854060,1854060,1854060,1854060,1854060,1854060,1854060
916,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
917,2,2.000,758402,758402,1068406,913404,1068406,1068406,1068406,1068406,1068406
918,1,1.000,2754379,2754379,2754379,2754379,2754379,2754379,2754379,2754379,2754379
919,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
920,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
921,2,2.000,144502,144502,1085884,615193,1085884,1085884,1085884,1085884,1085884
922,1,1.000,2238721,2238721,2238721,2238721,2238721,2238721,2238721,2238721,2238721
923,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
924,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
925,2,2.000,245023,245023,9561839,4903431,9561839,9561839,9561839,9561839,9561839
926,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
927,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
928,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
929,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
930,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
931,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
932,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
933,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
934,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
935,2,2.000,619550,619550,1058330,838940,1058330,1058330,1058330,1058330,1058330
936,1,1.000,436096,436096,436096,436096,436096,436096,436096,436096,436096
937,1,1.000,2017705,2017705,2017705,2017705,2017705,2017705,2017705,2017705,2017705
938,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
939,1,1.000,1761097,1761097,1761097,1761097,1761097,1761097,1761097,1761097,1761097
940,1,1.000,2484481,2484481,2484481,2484481,2484481,2484481,2484481,2484481,2484481
941,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
942,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
943,1,1.000,3863544,3863544,3863544,3863544,3863544,3863544,3863544,3863544,3863544
944,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
945,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
946,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
947,1,1.000,5071494,5071494,5071494,5071494,5071494,5071494,5071494,5071494,5071494
948,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
949,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
950,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
951,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
952,1,1.000,838063,838063,838063,838063,838063,838063,838063,838063,838063
953,2,2.000,221898,221898,1853115,1037506,1853115,1853115,1853115,1853115,1853115
954,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
955,1,1.000,1876524,1876524,1876524,1876524,1876524,1876524,1876524,1876524,1876524
956,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
957,2,2.000,484582,484582,1947465,1216023,1947465,1947465,1947465,1947465,1947465
958,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
959,1,1.000,764726,764726,764726,764726,764726,764726,764726,764726,764726
960,1,1.000,1053525,1053525,1053525,1053525,1053525,1053525,1053525,1053525,1053525
961,1,1.000,2808701,2808701,2808701,2808701,2808701,2808701,2808701,2808701,2808701
962,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
963,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
964,2,2.000,118234,118234,1064058,591146,1064058,1064058,1064058,1064058,1064058
965,1,1.000,2164098,2164098,2164098,2164098,2164098,2164098,2164098,2164098,2164098
966,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
967,2,2.000,244037,244037,9516711,4880374,9516711,9516711,9516711,9516711,9516711
968,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
969,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
970,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
971,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
972,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
973,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
974,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
975,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
976,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
977,2,2.000,637441,637441,1068485,852963,1068485,1068485,1068485,1068485,1068485
978,1,1.000,435986,435986,435986,435986,435986,435986,435986,435986,435986
979,1,1.000,2096043,2096043,2096043,2096043,2096043,2096043,2096043,2096043,2096043
980,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
981,1,1.000,1743620,1743620,1743620,1743620,1743620,1743620,1743620,1743620,1743620
982,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
983,1,1.000,2483056,2483056,2483056,2483056,2483056,2483056,2483056,2483056,2483056
984,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
985,1,1.000,3958486,3958486,3958486,3958486,3958486,3958486,3958486,3958486,3958486
986,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
987,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
988,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
989,1,1.000,5097047,5097047,5097047,5097047,5097047,5097047,5097047,5097047,5097047
990,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
991,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
992,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
993,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
994,1,1.000,818360,818360,818360,818360,818360,818360,818360,818360,818360
995,2,2.000,236267,236267,1755423,995845,1755423,1755423,1755423,1755423,1755423
996,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
997,1,1.000,1710596,1710596,1710596,1710596,1710596,1710596,1710596,1710596,1710596
998,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
999,2,2.000,515803,515803,1924097,1219950,1924097,1924097,1924097,1924097,1924097
1000,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1001,1,1.000,772969,772969,772969,772969,772969,772969,772969,772969,772969
1002,1,1.000,1031667,1031667,1031667,1031667,1031667,1031667,1031667,1031667,1031667
1003,1,1.000,2746657,2746657,2746657,2746657,2746657,2746657,2746657,2746657,2746657
1004,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1005,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1006,2,2.000,129049,129049,991577,560313,991577,991577,991577,991577,991577
1007,1,1.000,1994617,1994617,1994617,1994617,1994617,1994617,1994617,1994617,1994617
1008,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1009,2,2.000,269173,269173,10435766,5352469,10435766,10435766,10435766,10435766,10435766
1010,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1012,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1013,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1014,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1015,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1016,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1017,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1018,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1019,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020,2,2.000,655248,655248,1068050,861649,1068050,1068050,1068050,1068050,1068050
1021,1,1.000,435862,435862,435862,435862,435862,435862,435862,435862,435862
1022,1,1.000,2068353,2068353,2068353,2068353,2068353,2068353,2068353,2068353,2068353
1023,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1024,1,1.000,1603419,1603419,1603419,1603419,1603419,1603419,1603419,1603419,1603419
1025,1,1.000,2404125,2404125,2404125,2404125,2404125,2404125,2404125,2404125,2404125
1026,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1027,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1028,1,1.000,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3906643,3906643
1029,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1030,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1031,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1032,1,1.000,5113264,5113264,5113264,5113264,5113264,5113264,5113264,5113264,5113264
1033,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1034,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1035,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1036,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1037,1,1.000,832332,832332,832332,832332,832332,832332,832332,832332,832332
1038,2,2.000,229452,229452,1897016,1063234,1897016,1897016,1897016,1897016,1897016
1039,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1040,1,1.000,1795594,1795594,1795594,1795594,1795594,1795594,1795594,1795594,1795594
1041,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1042,2,2.000,490196,490196,1893577,1191886,1893577,1893577,1893577,1893577,1893577
1043,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1044,1,1.000,764161,764161,764161,764161,764161,764161,764161,764161,764161
1045,1,1.000,1095974,1095974,1095974,1095974,1095974,1095974,1095974,1095974,1095974
1046,1,1.000,2774096,2774096,2774096,2774096,2774096,2774096,2774096,2774096,2774096
1047,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1048,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1049,2,2.000,146975,146975,1157605,652290,1157605,1157605,1157605,1157605,1157605
1050,1,1.000,2106699,2106699,2106699,2106699,2106699,2106699,2106699,2106699,2106699
1051,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1052,2,2.000,246125,246125,9490807,4868466,9490807,9490807,9490807,9490807,9490807
1053,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1054,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1055,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1056,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1057,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1058,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1059,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1060,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1061,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1062,2,2.000,643265,643265,1071793,857529,1071793,1071793,1071793,1071793,1071793
1063,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1064,2,2.000,424745,424745,2071718,1248231,2071718,2071718,2071718,2071718,2071718
1065,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1066,1,1.000,1725303,1725303,1725303,1725303,1725303,1725303,1725303,1725303,1725303
1067,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1068,1,1.000,2482909,2482909,2482909,2482909,2482909,2482909,2482909,2482909,2482909
1069,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1070,1,1.000,3928533,3928533,3928533,3928533,3928533,3928533,3928533,3928533,3928533
1071,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1072,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1073,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1074,1,1.000,5258251,5258251,5258251,5258251,5258251,5258251,5258251,5258251,5258251
1075,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1076,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1077,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1078,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1079,1,1.000,846172,846172,846172,846172,846172,846172,846172,846172,846172
1080,2,2.000,228197,228197,1801660,1014928,1801660,1801660,1801660,1801660,1801660
1081,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1082,1,1.000,1726541,1726541,1726541,1726541,1726541,1726541,1726541,1726541,1726541
1083,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1084,1,1.000,500245,500245,500245,500245,500245,500245,500245,500245,500245
1085,1,1.000,1877460,1877460,1877460,1877460,1877460,1877460,1877460,1877460,1877460
1086,1,1.000,757788,757788,757788,757788,757788,757788,757788,757788,757788
1087,1,1.000,1048849,1048849,1048849,1048849,1048849,1048849,1048849,1048849,1048849
